,starttime_D,size
0,2020-03-01,31878
1,2020-03-02,56946
2,2020-03-03,49723
3,2020-03-04,58670
4,2020-03-05,58686
5,2020-03-06,34135
6,2020-03-07,39448
7,2020-03-08,46994
8,2020-03-09,68768
9,2020-03-10,64277
10,2020-03-11,61816
11,2020-03-12,51332
12,2020-03-13,43343
13,2020-03-14,44239
14,2020-03-15,36140
15,2020-03-16,29481
16,2020-03-17,24331
17,2020-03-18,30496
18,2020-03-19,20842
19,2020-03-20,31327
20,2020-03-21,31712
21,2020-03-22,19891
22,2020-03-23,3999
23,2020-03-24,20863
24,2020-03-25,12066
25,2020-03-26,21996
26,2020-03-27,26504
27,2020-03-28,8871
28,2020-03-29,9646
29,2020-03-30,15041
30,2020-03-31,14996
